CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L00153MP1990PLC006090,Natraj Proteins Limited,11.38,0.21,10.12,0.43,2.84,0.45,-1.11,0.02,-1.08,0.07
L00305MH1973PLC174201,Alkem Laboratories Limited,NA,NA,454.65,6.08,563.1,11.26,683.16,10.63,861.62,11.59
L01100MH1996PLC100380,Usher Agro Limited,64.2,1.28,0,0.64,NA,NA,NA,NA,NA,NA
L01100PN1998PLC013068,PRABHAT DAIRY LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,13.98,0.63
L01110MH1993PLC072842,Nath Bio-Genes (India) Limited,15.08,0.3,21.39,0.43,22.36,0.45,19.8,0.41,21.1,0.44
L01110RJ2006PLC047173,Bajaj Corp Limited,183.15,3.67,205.82,4.12,219.84,7.43,251.2,5.02,271.67,5.43
L01111DL1993PLC052845,Krbl Limited,217.3,4.35,298.21,5.96,371.65,7.43,0,3.22,548.91,0.17
L01111GJ2011PLC068414,JIYA ECO-PRODUCTS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,6.34,0
L01115HR1994PLC032244,PICCADILY AGRO INDUSTRIES LIMITED,0,0,26.28,0.53,17.76,0,12.8,0.35,8.46,0.13
L01119KL1978PLC002947,Harrisons Malayalam Ltd,6.37,0.13,NA,NA,NA,NA,NA,NA,NA,NA
L01119TN1986PLC013473,ABAN OFFSHORE LIMITED,NA,NA,NA,NA,223.56,4.47,380.63,0.17,285.11,0
L01120AP1986PLC006728,Kaveri Seed Company Ltd.,138.02,1.01,219.08,4.38,0,0,0,0,NA,NA
L01120TG1986PLC006728,KAVERI SEED COMPANY LTD.,NA,NA,NA,NA,223.73,8.4,189.05,3.78,183.63,6.94
L01122DD1991PLC002959,Multibase India Limited,5.73,0,8.3,0,10.96,0,15.18,0.01,21.77,0.37
L01131KA1943PLC000833,Tata Coffee Limited,114.27,2.29,117.75,2.48,108.92,2.21,109.57,2.21,90,1.92
L01132AS1915PLC000200,B & A Limited,11,0,11.08,0.23,10.64,0.22,7.76,0.16,7.13,0.14
L01132AS1977PLC001685,ASSAM COMPANY INDIA LIMITED,0,0,0,0,9.19,0.18,NA,NA,NA,NA
L01132AS1977PLC001706,Warren Tea Limited,20.71,0.41,22.35,0.45,16.74,0.33,-0.92,0,-10.31,0
L01132TZ1922PLC000234,The United Nilgiri Tea Estates Company Limited,7.43,0.16,10.06,0.2,12.31,0.25,12.93,0.26,13.21,0.2
L01132WB1900PLC000292,Joonktollee Tea & Industries Ltd.,9.35,0.19,6.35,0.13,2.63,0.05,0,0.01,0,0.01
L01132WB1918PLC003029,Naga Dhunseri Group Ltd.,NA,NA,3.88,0.08,2.36,0.05,6.54,0.13,8.15,0.16
L01132WB1919PLC003334,Birla Corporation Limited,283,5.66,238.62,4.77,184.01,3.84,212.08,4.24,NA,NA
L01132WB1977PLC031054,GOODRICKE GROUP LTD,0,0,35.2,0.46,27.13,0.55,26.96,0.54,33.58,0.55
L01132WB1994PLC063513,Rossell India Limited,30.18,0.61,24.5,0.49,15.51,0.31,3.45,0.17,0.99,0.22
L01222MP1984PLC002627,SIMRAN FARMS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.05
L01222PN1976PLC017422,Venkys (India) Limited,33.29,0.7,25.84,0.52,0,0,85.94,1.75,194.85,1.75
L01222TZ1995PLC006025,Skm Egg Products Export India Limited,NA,NA,15.31,0.31,25.9,0.52,23.16,0.46,12.61,0.25
L01400WB2000PLC091286,Jk Agri Genetics Limited,8.53,0.17,14.23,0.28,13.79,0.28,14.14,0.29,13.73,0.28
L01409WB1982PLC034590,Ifb Agro Industries Ltd.,38.83,0.78,35.77,0.72,37.01,0.74,36.97,0.56,43.11,0.87
L01409WB1986PLC041169,K I C METALIKS LIMITED,NA,NA,NA,NA,NA,NA,0,0,9.08,0.12
L01551KA1999PLC024991,United Spirits Limited,0,0.08,NA,NA,-979.2,6.83,NA,NA,518.47,12.1
L02101KA1955PLC001936,West Coast Paper Mills Limited,NA,NA,14.41,0.29,29.93,0.6,82.6,1.5,155.21,1.77
L02411KA1988PLC009465,Vivimed Labs Limited,44.02,0,11.5,0.36,22.85,0.46,71.65,0.3,65.46,0.28
L02710CT1990PLC009826,Monnet Ispat And Energy Limited,204.28,4.04,NA,NA,NA,NA,NA,NA,NA,NA
L03210TZ1985PLC001535,Salzer Electronics Limited,0,0.09,12.59,0.25,0,0.13,21.41,0.25,26.56,0.53
L05004GJ2009PLC056270,Zeal Aqua Limited,NA,NA,3.74,0.07,3.74,0.07,2.92,0.21,3.63,0.09
L05005AP1987PLC018436,The Waterbase Limited,0,0.23,19.55,0.39,17.65,0.35,17.8,0.35,25.03,0.57
L05190KA1921PLC036321,Ingersoll-Rand (India) Limited,110.95,2.22,103.5,2.07,94.32,1.89,0,1.97,0,2.18
L07010KA1997PLC022322,Prestige Estates Projects Limited,361.61,7.24,499.6,3.98,505.8,10.2,528,2.97,414.9,5.4
L10101WB1974PLC094602,Graphite India Limited,255.37,5.11,203.17,9.17,171.47,0.88,117.34,0.72,524.66,22.23
L10889MH1957PLC010889,Garware Polyester Limited,20.53,0.41,17.67,0.35,22.17,0.44,12.61,0.26,27.34,0.55
L11100GJ1996PLC029880,HINDUSTAN OIL EXPLORATION COMPANY LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,11.67,0.4
L11100TG1982PLC003492,KEERTHI INDUSTRIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,20.04,0.2
L11101AS1959GOI001148,Oil India Limited,4909.38,133.31,4415.73,88.31,0,0,0,0,2808.13,133.39
L11101MH2006PLC163934,Cairn India Limited,6489.82,129.8,5360.5,107.21,0,0,0,0,NA,NA
L11101TN1989PLC017347,Kothari Petrochemicals Limited.,8.35,0.17,11.89,0.24,15.38,0.31,13.53,0.27,12.9,0.26
L13100AP1958GOI001674,Nmdc Limited,9979.14,250.19,9664.05,193.28,8010.77,174.18,6050.93,169.37,NA,NA
L13100KA1976GOI002974,Kiocl Limited,NA,NA,34.37,0.64,-3.13,0.44,0,0.16,0,0.33
L13100MH1960PLC011601,Acrow India Limited,NA,NA,NA,NA,6.06,0.12,6.18,0.12,NA,NA
L13100TG1958GOI001674,NMDC LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,4854.64,167.24
L13203HR2006PLC049480,SOUTH WEST PINNACLE EXPLORATION LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,9.39,0.19
