,user_id,snowplow_pseudo_id,AGEB_key,user_first_visit,traffic_source,device_category,browser,mobile_brand,model_name,country,total_session_duration,total_events,total_page_views,engagement_time_minutes
0,e3eabd43-23f3-4781-90ee-5a67e781e7e2,1364061063.1617121653,,2021-03-30,(direct),desktop,Chrome,Google,Chrome,Colombia,2019,12,4,2.42
1,e4ccc0ac-71b1-4d7c-b697-f9f76f1084d0,1645287458.1617116080,,2021-03-30,m.facebook.com,mobile,Chrome,Samsung,SM-J710MN,Peru,467,11,4,2.0
2,815ef036-f1ee-486e-85a2-facf11df24a1,2096996404.1617125813,,2021-03-30,google,mobile,Chrome,Xiaomi,Redmi 7A,Russia,540,11,2,1.89
3,c86127fb-bc84-488a-b961-2abc5213f6fd,575100521.1617133751,,2021-03-30,m.facebook.com,mobile,Android Webview,Samsung,SM-G900H,Ecuador,161,7,2,1.38
4,1c101e61-f3cc-4d77-8803-e27aa80f2a59,804160641.1617114854,,,tegger.io,desktop,Chrome,Google,Chrome,Netherlands,81,13,3,0.47
5,9b083851-6c58-44dc-bf7c-52c6ebf81efd,1529284681.1614827823,1100700011135,2021-03-03,tegger.io,desktop,Chrome,Google,Chrome,Mexico,133905,1943,686,0.21
6,31b7c253-1833-4d44-9623-e7c1b88592fa,559569631.1617112816,,2021-03-30,google,desktop,Chrome,Google,ChromeBook,Brazil,19040,180,65,0.17
7,001bd76d-0ddb-4856-9139-5871968875be,1859723339.1615253133,,2021-03-08,tegger.io,desktop,Chrome,Google,Chrome,Romania,46161,1740,657,0.14
8,99a8f461-a61f-4298-ad74-49030cb2cc9c,amp-CKFcHP_3uf71pux2AhFNuw,,2021-03-30,t.co,mobile,Chrome,Huawei,CAM-L03,Venezuela,533,16,4,0.12
9,3b5d13db-be04-4d11-a284-f9153050b70c,520652043.1609368469,,2021-03-30,(direct),mobile,Chrome,Huawei,ART-L28,Peru,621,9,2,0.1
10,c00ea228-d14e-49a2-8eaf-9b8c374ae6ad,743958534.1617141668,240490064,2021-03-30,google,mobile,Safari,Apple,iPhone,Mexico,1496,46,10,0.1
11,5c1347b6-bdc2-46d2-b118-0a3c448e42cc,1503238831.1617132227,1202900011936,2021-03-30,(direct),mobile,Chrome,Samsung,SM-G532M,Mexico,83,8,2,0.1
12,91e978ea-78e6-4bfe-96db-2d8b56f87c78,804160641.1617114854,,,tegger.io,desktop,Chrome,Google,Chrome,Netherlands,17596,462,153,0.1
13,dfcdae1c-b340-449b-8c54-3d9844751cd4,1667559976.1617134726,110200088,2021-03-30,transparentbusiness.com,mobile,Chrome,RT,WIDE,Mexico,1401,11,2,0.09
14,0448438b-a613-4b54-b346-cdd26279916e,1510387536.1617123180,,2021-03-30,culturacolectiva-com.cdn.ampproject.org,mobile,Safari,Apple,iPhone,Argentina,158,11,2,0.09
15,27874df7-fe33-4ae2-a5cf-c9136798b851,amp-2sezjs7zyzO-bBaJ9RPSsA,,2021-03-30,(direct),mobile,Chrome,Huawei,STK-LX3,Guatemala,144,8,2,0.09
16,17d9a12b-4c25-4f07-98fd-2de158d2b144,911166782.1617124081,,2021-03-30,google,desktop,Chrome,Google,Chrome,Colombia,503,9,2,0.08
17,e37b777d-71b0-4c08-a99f-344a2bbdb7a4,880111174.1617134087,,2021-03-30,(direct),mobile,Chrome,Samsung,SM-G935F,Turkey,149,12,3,0.07
18,2ca31881-7ec4-4cbc-a157-def5bad40a03,1095562183.1617121147,,2021-03-30,pinterest.com,desktop,Chrome,Google,Chrome,Venezuela,72886,440,242,0.07
19,6ca9d59f-0d81-4304-aee9-48a287ec28a8,74973416.1617123554,,2021-03-30,tegger.io,desktop,Chrome,Google,Chrome,Germany,11892,288,96,0.06
20,ebe10f4c-7a0b-4dab-9e43-e1630725f812,1483890597.1617137399,,2021-03-30,google,desktop,Chrome,Google,Chrome,Colombia,1185,15,3,0.06
21,1c101e61-f3cc-4d77-8803-e27aa80f2a59,804160641.1617114854,,,tegger.io,desktop,Chrome,Google,Chrome,Netherlands,26186,372,123,0.06
22,a32146b3-74bc-4c87-9c1e-1f28f8bf8512,1859036510.1617125579,,2021-03-30,tegger.io,desktop,Chrome,Google,Chrome,Germany,5325,141,39,0.03
23,b88f9e7c-d8cd-4475-bc15-7cf6f506441f,1853230120.1616001279,11007032A,2021-03-17,tegger.io,desktop,Firefox,Mozilla,Firefox,Mexico,1797,48,18,0.02
24,32c13b2c-1433-42f5-9625-68ccd2b37db1,438547699.1616384645,,2021-03-21,(direct),mobile,Chrome,Apple,iPhone,Colombia,17,6,2,0.01
25,6ee713c7-75cb-4d21-a240-9fcc3fcce05b,812111568.1616633528,0901500010733,2021-03-24,google,desktop,Chrome,Apple,Safari,Mexico,42462,807,251,0.0
26,be9335e4-64e4-483b-85db-9eda502802fc,1948404512.1616348445,,2021-03-21,tegger.io,desktop,Chrome,Google,Chrome,China,21079,135,42,0.0
27,6b7346d7-59bb-4b59-9c25-1aab21c86d2a,1171242960.1617097383,,2021-03-30,google,mobile,UC Browser,Samsung,SM-A015M,Bolivia,1071,9,2,0.0
28,6ee713c7-75cb-4d21-a240-9fcc3fcce05b,1296416941.1615891657,0901500010733,2021-03-20,google,mobile,Safari,Apple,iPhone,Mexico,9705,159,48,0.0
29,d3a0674e-8bf9-4aff-9a79-64d05aec765e,1342268005.1561512845,0901300010334,2020-08-27,freim.tv,mobile,Chrome,Motorola,Moto G (4),Mexico,1,4,2,0.0
30,aa9f150d-47b4-4f44-92fc-11060b48752c,344264281.1613207162,,2021-02-13,tegger.io,desktop,Chrome,Google,Chrome,Germany,15,7,2,0.0
31,f8cf752c-cfe8-4a5e-aa7b-07f46e45e9e3,692381519.1616673656,,2021-03-25,google,desktop,Chrome,Google,Chrome,Germany,10317,202,59,0.0
32,32c13b2c-1433-42f5-9625-68ccd2b37db1,547523340.1614015544,,2021-03-21,(direct),desktop,Chrome,Apple,Safari,Colombia,56,26,4,0.0
33,9d4262b5-bd62-459a-b3b1-999ca4140e04,1576932999.1582337480,2500600013916,2021-03-21,(direct),mobile,Safari,Apple,iPhone,Mexico,183,6,2,0.0
34,40eb5c70-e23a-4696-a5c9-35f9c4db49ab,95830130.1581009001,150990438,2021-03-23,(direct),desktop,Chrome,Google,Chrome,Mexico,6653,51,18,0.0
35,b15477c0-41cc-483c-9e3c-4a439ce2df34,314845971.1616587170,,2021-03-24,tegger.io,desktop,Edge,Microsoft,Edge,South Korea,105874,605,390,
36,0b3ff814-b10d-48e0-b29b-663bcf43badc,421481753.1615405715,,2021-03-29,google,desktop,Chrome,Apple,Safari,United States,206520,1776,1152,
37,4637c94f-33e1-4d26-9278-596aabd7c36d,1800089899.1617069635,1505700012650,2021-03-29,(direct),mobile,Chrome,ZTE,Blade A520,Mexico,15,15,6,
38,be9335e4-64e4-483b-85db-9eda502802fc,510717200.1616348437,,2021-03-21,tegger.io,desktop,Chrome,Google,Chrome,China,2409,51,23,
39,61eb5dd2-e41f-432f-bf30-2d043520896f,1428432670.1614294600,150990438,2021-03-22,(direct),desktop,Chrome,Apple,Safari,Mexico,300,15,2,
40,b15477c0-41cc-483c-9e3c-4a439ce2df34,358118926.1616587597,,2021-03-24,tegger.io,desktop,Edge,Microsoft,Edge,South Korea,0,8,4,
